N ,FRDM,relativistic continuum Hartree-Bogoliubov theory ,exp_energy,calculated_enery,P_e,R_n,R_p,S_n1,S_n2155,1916.58,None,None,1925.767348,-260.939817,6.206504,6.156925,8.236448999999993,16.60370899999998
173,2058.11,2048.28,2053.485,2053.799535,-250.867187,6.329892,6.201192,6.212756000000127,12.525775000000067
174,2065.62,2055.37,2060.352,2059.896926,-249.298874,6.338333,6.205668,6.097390999999789,12.310146999999915
175,2071.58,2061.44,2066.061,2065.876614,-247.810655,6.346789,6.210158,5.979687999999896,12.077078999999685
176,2078.82,2068.32,2072.63,2071.737661,-246.423667,6.355274,6.214671,5.861047000000326,11.840735000000222
177,2084.47,2074.21,2078.031,2077.479208,-245.159826,6.363799,6.219217,5.741547000000082,11.602594000000408
178,2091.52,2080.98,None,2083.100536,-244.041241,6.372378,6.223805,5.621327999999721,11.362874999999804
179,2096.9,2086.79,None,2088.601105,-243.088816,6.381023,6.228447,5.500569000000269,11.12189699999999
180,2103.36,2093.35,None,2093.980633,-242.321705,6.389746,6.233153,5.379527999999937,10.880097000000205
181,2108.51,2099.08,None,2099.239124,-241.754306,6.398558,6.237932,5.258491000000049,10.638018999999986
182,2114.66,2105.41,None,2104.376938,-241.398838,6.407467,6.242793,5.1378139999997074,10.396304999999757
183,2119.43,2111.13,None,2109.394813,-241.2593,6.416477,6.247741,5.017875000000004,10.155688999999711
184,2125.19,2116.96,None,2114.293892,-241.334583,6.425592,6.252781,4.899079000000256,9.91695400000026
185,2128.8,2120.68,None,2119.075696,-241.615973,6.434808,6.257913,4.781803999999738,9.680882999999994
186,2134.23,2125.63,None,2123.742129,-242.089842,6.444121,6.263137,4.666433000000325,9.448237000000063
187,2137.39,2129.34,None,2128.295388,-242.736371,6.453522,6.268449,4.553258999999798,9.219692000000123
188,2142.65,2134.26,None,2132.737946,-243.533396,6.463003,6.273842,4.44255800000019,8.995816999999988
189,2145.78,2137.95,None,2137.072449,-244.45551,6.47255,6.279311,4.334502999999586,8.777060999999776
190,2150.87,2142.86,None,2141.301671,-245.477906,6.482153,6.284846,4.229222000000391,8.563724999999977
191,2153.98,2146.54,None,2145.42843,-246.575212,6.491799,6.29044,4.126758999999765,8.355981000000156
192,2158.94,2151.44,None,2149.45556,-247.724663,6.501476,6.296085,4.027129999999943,8.153888999999708
193,2162.11,2155.1,None,2153.385849,-248.904427,6.511174,6.301772,3.9302889999999024,7.957418999999845
194,2167.25,2159.99,None,2157.221999,-250.096061,6.520882,6.307495,3.8361500000000888,7.766438999999991
195,2170.72,2163.62,None,2160.96662,-251.282487,6.530592,6.313246,3.7446210000002793,7.580771000000368
196,2175.67,2168.48,None,2164.622202,-252.44995,6.540296,6.319021,3.6555819999998675,7.400203000000147
197,2182.37,2172.01,None,2168.19111,-253.585915,6.549987,6.324812,3.5689080000001923,7.22449000000006
198,2187.33,2176.81,None,2171.675573,-254.680729,6.55966,6.330616,3.484462999999778,7.05337099999997
199,2188.59,2179.76,None,2175.077691,-255.725603,6.569309,6.336428,3.402117999999973,6.886580999999751
200,2193.52,2184.21,None,2178.399438,-256.714027,6.57893,6.342244,3.3217469999999594,6.7238649999999325
201,2197.06,2187.06,None,2181.642644,-257.64036,6.58852,6.348062,3.2432060000001,6.5649530000000595
202,2201.73,2191.32,None,2184.809033,-258.500243,6.598075,6.353877,3.166388999999981,6.409595000000081
203,2204.8,2194.09,None,2187.900207,-259.290196,6.607593,6.359687,3.0911740000001373,6.257563000000118
204,2209.04,2198.27,None,2190.917648,-260.007677,6.617072,6.365491,3.0174409999999625,6.1086150000001
205,2211.93,2200.98,None,2193.862747,-260.650686,6.626511,6.371285,2.9450990000000274,5.96253999999999
206,2215.97,2205.1,None,2196.736775,-261.217985,6.635906,6.377068,2.8740279999997256,5.819126999999753
